 96_36           4:51:43   -0:10:12 11.912 10.609 10.580 10.677 10.764  1.303  0.029 -0.067 -0.154 -0.097 -0.184
 96_737          4:52:35    0:22:29 15.084 12.343 11.172 10.721 10.467  2.741  1.171  1.622  1.876  0.451  0.705
 96_409          4:52:58    0:09:04 15.160 13.962 13.622 13.519 13.481  1.198  0.340  0.443  0.481  0.103  0.141
 96_83           4:52:59   -0:14:44 13.118 11.699 11.741 11.876 11.987  1.419 -0.042 -0.177 -0.288 -0.135 -0.246
 96_235          4:53:19   -0:05:04 14.001 11.621 10.724 10.454 10.313  2.379  0.898  1.168  1.309  0.270  0.411
 G97_42          5:28:01    9:39:07 16.118 13.241 11.750 10.391  9.789  2.877  1.491  2.850  3.452  1.359  1.961
 G102_22         5:42:05   12:30:14 15.002 12.297 10.825  9.319  8.697  2.705  1.472  2.978  3.600  1.506  2.128
 GD_71           5:52:28   15:53:15 12.385 12.773 13.264 13.655 13.925 -0.388 -0.491 -0.882 -1.152 -0.391 -0.661
 97_249          5:57:07    0:01:12 13.254 11.976 11.525 11.410 11.364  1.278  0.450  0.566  0.612  0.116  0.161
 97_42           5:57:09   -0:11:13 16.046 13.239 11.761 10.402  9.800  2.807  1.477  2.836  3.438  1.359  1.961
 97_345          5:57:26    0:20:26 15.873 12.415 10.907 10.310  9.965  3.458  1.508  2.105  2.450  0.597  0.942
 97_351          5:57:37    0:13:42 11.047  9.774  9.792  9.884  9.968  1.272 -0.018 -0.110 -0.194 -0.092 -0.176
 97_75           5:57:55   -0:09:29 16.449 12.411 10.676  9.973  9.562  4.038  1.736  2.439  2.849  0.703  1.114
 97_284          5:58:25    0:05:12 14.071 11.431 10.230  9.750  9.477  2.640  1.201  1.682  1.954  0.481  0.753
 97_224          5:58:44   -0:05:13 16.085 14.475 13.749 13.443 13.279  1.611  0.726  1.032  1.195  0.306  0.470
 98_961          6:51:27   -0:15:37 16.212 13.687 12.570 12.152 11.918  2.524  1.117  1.536  1.770  0.419  0.653
 98_966          6:51:29   -0:16:27 15.776 14.144 13.881 13.787 13.755  1.633  0.262  0.357  0.389  0.094  0.126
 98_556          6:51:30   -0:24:52 15.520 14.206 14.081 14.073 14.095  1.314  0.125  0.133  0.111  0.008 -0.014
 98_557          6:51:30   -0:25:07 18.062 15.442 14.205 13.709 13.427  2.619  1.237  1.733  2.015  0.496  0.778
 98_562          6:51:31   -0:18:59 13.495 12.357 12.039 11.972 11.957  1.137  0.318  0.385  0.400  0.067  0.082
 98_563          6:51:32   -0:26:26 15.153 14.275 14.068 13.987 13.964  0.878  0.207  0.287  0.311  0.081  0.104
 98_978          6:51:34   -0:11:28 12.063 10.793 10.384 10.298 10.272  1.270  0.409  0.495  0.521  0.086  0.112
 98_L1           6:51:39   -0:26:38 18.459 16.248 15.173 14.705 14.441  2.211  1.075  1.543  1.807  0.468  0.732
 98_L2           6:51:40   -0:21:11 19.695 16.489 15.312 14.982 14.803  3.206  1.177  1.508  1.686  0.331  0.509
 98_581          6:51:40   -0:25:43 15.931 14.569 14.549 14.540 14.561  1.362  0.020  0.029  0.008  0.009 -0.012
 98_580          6:51:40   -0:26:43 16.372 14.814 14.658 14.589 14.573  1.558  0.155  0.224  0.240  0.069  0.085
 98_L3           6:51:42   -0:15:18 19.253 15.578 13.775 12.979 12.511  3.675  1.803  2.599  3.068  0.796  1.265
 98_L4           6:51:42   -0:16:35 19.603 16.965 15.783 15.244 14.935  2.639  1.181  1.720  2.029  0.539  0.848
 98_1002         6:51:43   -0:15:53 15.872 14.769 14.397 14.255 14.194  1.103  0.373  0.514  0.575  0.141  0.203
 98_590          6:51:43   -0:22:21 17.596 15.279 14.090 13.587 13.302  2.317  1.190  1.692  1.977  0.502  0.788
 98_614          6:51:49   -0:20:34 17.840 16.149 15.263 14.861 14.638  1.691  0.886  1.288  1.512  0.402  0.626
 98_618          6:51:50   -0:21:17 17.929 13.831 11.759 10.868 10.329  4.099  2.072  2.963  3.502  0.891  1.430
 98_624          6:51:52   -0:20:16 15.818 14.134 13.533 13.367 13.291  1.684  0.601  0.766  0.843  0.166  0.242
 98_626          6:51:53   -0:20:46 18.038 15.425 14.179 13.609 13.282  2.612  1.246  1.816  2.144  0.570  0.897
 98_627          6:51:53   -0:22:03 16.413 15.166 14.672 14.523 14.457  1.248  0.493  0.643  0.709  0.149  0.215
 98_634          6:51:56   -0:20:57 16.160 14.850 14.401 14.266 14.209  1.310  0.449  0.584  0.641  0.135  0.191
 98_642          6:51:59   -0:21:33 17.069 15.490 15.120 14.965 14.895  1.579  0.370  0.525  0.594  0.155  0.225
 98_185          6:52:02   -0:27:21 11.825 10.529 10.547 10.656 10.750  1.296 -0.018 -0.126 -0.221 -0.108 -0.203
 98_646          6:52:03   -0:21:18 19.420 16.313 15.430 15.166 15.028  3.108  0.883  1.147  1.284  0.264  0.401
 98_193          6:52:04   -0:27:18 13.301 10.571  9.562  9.266  9.108  2.730  1.009  1.305  1.463  0.296  0.454
 98_653          6:52:05   -0:18:19 10.420  9.417  9.651  9.873 10.038  1.003 -0.234 -0.456 -0.621 -0.222 -0.387
 98_650          6:52:05   -0:19:40 13.531 12.239 12.304 12.450 12.567  1.292 -0.065 -0.211 -0.328 -0.146 -0.263
 98_652          6:52:05   -0:21:58 16.353 15.039 14.628 14.525 14.489  1.314  0.412  0.514  0.551  0.102  0.139
 98_666          6:52:10   -0:23:34 13.838 12.704 12.762 12.886 12.990  1.134 -0.058 -0.182 -0.286 -0.124 -0.228
 98_671          6:52:12   -0:18:22 15.939 13.807 13.021 12.767 12.635  2.132  0.786  1.041  1.172  0.254  0.385
 98_670          6:52:12   -0:19:17 15.521 12.569 11.376 10.966 10.737  2.952  1.194  1.604  1.832  0.410  0.638
 98_676          6:52:14   -0:19:21 15.649 13.590 12.616 12.187 11.946  2.059  0.973  1.403  1.643  0.430  0.670
 98_675          6:52:14   -0:19:41 18.159 14.347 12.573 11.821 11.379  3.812  1.774  2.526  2.968  0.752  1.193
 98_L5           6:52:16   -0:19:39 19.746 18.744 16.979 14.059 12.275  1.002  1.765  4.685  6.469  2.920  4.704
 98_682          6:52:17   -0:19:42 15.258 13.983 13.549 13.434 13.390  1.275  0.434  0.549  0.593  0.115  0.160
 98_685          6:52:19   -0:20:19 13.366 12.093 11.837 11.793 11.792  1.272  0.256  0.301  0.301  0.044  0.045
 98_688          6:52:19   -0:23:34 14.276 12.798 12.720 12.774 12.834  1.478  0.078  0.024 -0.036 -0.054 -0.114
 98_1082         6:52:20   -0:14:15 16.496 15.358 14.711 14.334 14.127  1.139  0.647  1.023  1.231  0.377  0.584
 98_1087         6:52:21   -0:15:50 18.124 15.212 13.767 13.133 12.765  2.912  1.445  2.079  2.447  0.634  1.002
 98_1102         6:52:28   -0:13:43 13.432 12.169 12.069 12.108 12.159  1.263  0.100  0.061  0.010 -0.039 -0.090
 98_1112         6:52:35   -0:15:23 15.846 14.311 13.686 13.494 13.401  1.535  0.625  0.817  0.910  0.192  0.285
 98_1119         6:52:37   -0:14:33 13.302 12.067 11.718 11.655 11.643  1.235  0.349  0.412  0.424  0.063  0.075
 98_1124         6:52:38   -0:16:34 15.259 13.763 13.663 13.696 13.743  1.496  0.101  0.068  0.020 -0.033 -0.080
 98_1122         6:52:38   -0:17:05 15.033 14.303 13.908 13.705 13.606  0.730  0.395  0.598  0.698  0.203  0.303
 98_724          6:52:38   -0:19:22 14.004 11.616 10.687 10.401 10.249  2.388  0.929  1.216  1.367  0.286  0.438
 98_733          6:52:40   -0:17:16 15.478 12.838 11.718 11.311 11.085  2.640  1.119  1.526  1.753  0.407  0.633
 RU_149G         7:24:12   -0:31:46 14.198 13.012 12.674 12.588 12.562  1.186  0.338  0.424  0.450  0.086  0.112
 RU_149A         7:24:14   -0:32:44 15.845 14.542 14.459 14.497 14.547  1.303  0.083  0.045 -0.005 -0.038 -0.088
 RU_149F         7:24:15   -0:30:58 16.530 13.975 13.035 12.737 12.579  2.555  0.941  1.238  1.396  0.297  0.455
 RU_149          7:24:15   -0:32:55 13.739 13.674 14.039 14.336 14.547  0.065 -0.365 -0.662 -0.874 -0.297 -0.508
 RU_149D         7:24:16   -0:32:38 12.083 11.339 11.608 11.830 11.995  0.744 -0.269 -0.491 -0.656 -0.222 -0.387
 RU_149C         7:24:18   -0:32:17 15.749 14.414 14.439 14.545 14.638  1.335 -0.025 -0.131 -0.223 -0.106 -0.198
 RU_149B         7:24:18   -0:32:58 14.241 12.893 12.428 12.311 12.265  1.348  0.465  0.582  0.628  0.117  0.163
 RU_149E         7:24:19   -0:31:08 15.021 13.890 13.572 13.495 13.473  1.130  0.318  0.396  0.417  0.078  0.099
 RU_152F         7:29:51   -2:04:29 16.035 14.800 14.363 14.284 14.262  1.235  0.437  0.515  0.538  0.079  0.101
 RU_152E         7:29:51   -2:05:09 13.287 12.266 12.451 12.648 12.797  1.021 -0.186 -0.383 -0.532 -0.197 -0.346
 RU_152          7:29:55   -2:06:18 12.447 12.788 13.217 13.532 13.755 -0.341 -0.429 -0.745 -0.968 -0.315 -0.538
 RU_152B         7:29:56   -2:05:39 16.349 15.179 14.884 14.811 14.793  1.170  0.295  0.368  0.386  0.073  0.091
 RU_152A         7:29:57   -2:06:02 15.548 14.525 14.185 14.093 14.062  1.023  0.340  0.433  0.463  0.092  0.123
 RU_152C         7:29:59   -2:05:18 13.545 12.423 12.051 11.948 11.911  1.122  0.372  0.475  0.512  0.103  0.141
 RU_152D         7:30:03   -2:04:16 13.264 11.446 10.757 10.547 10.443  1.818  0.689  0.899  1.003  0.210  0.314
 99_438          7:55:54   -0:16:51  9.331  9.191  9.584  9.893 10.113  0.139 -0.393 -0.702 -0.922 -0.309 -0.529
 99_447          7:56:07   -0:20:43 10.089  9.259  9.560  9.830 10.025  0.829 -0.300 -0.571 -0.766 -0.270 -0.465
 100_241         8:52:35   -0:39:48 11.386 10.107 10.172 10.319 10.437  1.279 -0.065 -0.212 -0.330 -0.147 -0.265
 100_162         8:53:15   -0:43:29 12.950  9.745  8.635  8.323  8.155  3.206  1.110  1.422  1.589  0.312  0.479
 100_267         8:53:18   -0:41:31 14.233 13.179 12.899 12.833 12.819  1.054  0.279  0.345  0.359  0.066  0.080
 100_269         8:53:19   -0:41:10 13.621 12.536 12.192 12.098 12.066  1.085  0.344  0.439  0.471  0.094  0.126
 100_280         8:53:36   -0:36:41 13.093 11.956 11.667 11.612 11.604  1.137  0.289  0.344  0.351  0.055  0.063
 100_394         8:53:55   -0:32:21 15.152 12.002 10.849 10.455 10.237  3.151  1.153  1.546  1.764  0.393  0.611
 PG0918+029D     9:21:22    2:47:30 15.010 12.737 11.870 11.576 11.420  2.273  0.866  1.161  1.317  0.294  0.451
 PG0918+029      9:21:28    2:46:03 12.703 13.055 13.570 13.956 14.223 -0.352 -0.515 -0.900 -1.167 -0.386 -0.653
 PG0918+029B     9:21:34    2:48:01 15.916 14.271 13.698 13.566 13.510  1.645  0.573  0.706  0.762  0.133  0.188
 PG0918+029A     9:21:35    2:46:20 15.766 14.670 14.337 14.238 14.203  1.096  0.333  0.432  0.467  0.099  0.134
 PG0918+029C     9:21:42    2:46:38 15.030 13.770 13.338 13.218 13.170  1.260  0.433  0.552  0.600  0.120  0.168
 -12_2918        9:31:18  -13:29:20 13.537 10.788  9.442  8.316  7.746  2.749  1.346  2.471  3.042  1.125  1.696
 PG0942-029D     9:45:10   -3:05:53 15.221 13.903 13.541 13.434 13.395  1.318  0.362  0.468  0.508  0.106  0.145
 PG0942-029A     9:45:10   -3:10:17 16.657 15.049 14.457 14.220 14.099  1.608  0.592  0.830  0.951  0.237  0.358
 PG0942-029B     9:45:12   -3:06:57 15.539 14.282 13.961 13.864 13.831  1.257  0.321  0.418  0.451  0.096  0.129
 PG0942-029      9:45:12   -3:09:24 13.238 13.719 14.258 14.634 14.895 -0.481 -0.539 -0.915 -1.176 -0.376 -0.637
 PG0942-029C     9:45:15   -3:06:39 16.925 15.276 14.743 14.604 14.545  1.649  0.533  0.672  0.731  0.138  0.198
 101_315         9:54:51   -0:27:28 14.372 11.775 10.794 10.476 10.305  2.597  0.981  1.298  1.469  0.318  0.489
 101_316         9:54:52   -0:18:32 12.892 11.708 11.420 11.365 11.358  1.184  0.288  0.343  0.350  0.055  0.063
 101_L1          9:55:29   -0:21:37 17.801 16.805 16.240 15.954 15.802  0.996  0.565  0.851  1.003  0.286  0.438
 101_320         9:55:33   -0:22:31 16.384 14.292 13.418 13.098 12.926  2.092  0.875  1.194  1.367  0.320  0.492
 101_L2          9:55:35   -0:18:48 17.240 15.987 15.585 15.517 15.502  1.253  0.402  0.470  0.485  0.068  0.083
 101_404         9:55:41   -0:18:21 15.999 13.897 13.081 12.821 12.686  2.102  0.816  1.076  1.211  0.260  0.395
